"","Name","City","State","Locale","Control","Cost_att","Federal_loan","Pell_Grant","Women","Dependent","Married","pct_white","pct_black","pct_hispanic","pct_asian","Low_income","Mid1_income","Mid2_income","High1_income","High2_income","Completion_rate","Monthly_debt","Mean_earning_6","Mean_earning_7","Mean_earning_8","Mean_earning_9","Mean_earning_10","Mean_earning_male_6","Mean_earning_female_6","Mean_earning_male_10","Mean_earning_female_10"
"176","Southeast Arkansas College","Pine Bluff","AR","City","Public",8102,0.4099999964,0.9399999976,0.75,0.3100000024,0.25,54.0600013733,43.7999992371,1.2400000095,0.5500000119,0.7344573235,0.1464699684,0.08113804,NA,NA,NA,71.2305765027455,23300,26000,26200,28600,29500,22100,26900,27900,33700
"177","Professional Cosmetology Education Center","El Dorado","AR","Town","Private",NA,0.0299999993,1,0.9800000191,0.3000000119,0.200000003,64.4700012207,33.75,1.0900000334,0.2899999917,0.6041666667,NA,NA,NA,NA,NA,101.670817063651,NA,NA,NA,15700,NA,NA,NA,NA,NA
"178","Pulaski Technical College","North Little Rock","AR","City","Public",14683,0.8799999952,0.8600000143,0.6899999976,0.2700000107,0.2199999988,63.7099990845,32.4300003052,2.4800000191,0.9200000167,0.6950549451,0.1430860806,0.0883699634,0.0451007326,0.0283882784,NA,171.970815560119,25300,27400,28700,30200,31300,23800,27900,29000,35800
"179","University of Arkansas Community College-Hope","Hope","AR","Town","Public",13911,0.1800000072,0.9599999785,0.6899999976,0.4399999976,0.2800000012,67.0100021362,28.75,4.6799998283,0.2300000042,0.7663043478,0.1576086957,NA,NA,NA,NA,NA,24300,24200,25600,26400,27100,21200,30300,23100,35300
"180","Rich Mountain Community College","Mena","AR","Town","Public",11423,0,1,0.75,0.3799999952,0.3600000143,93.8799972534,0.3400000036,3.7799999714,0.4799999893,0.7310513447,0.1907090465,NA,NA,NA,NA,NA,19300,22900,22900,24300,24900,17500,24500,20900,33400
"181","Paul Mitchell the School-Arkansas","Fayetteville","AR","City","Private",NA,0.4499999881,0.9100000262,0.9499999881,0.2399999946,0.3400000036,89.5899963379,1.8700000048,6.2699999809,1.2699999809,0.5915492958,0.1478873239,0.1197183099,NA,NA,NA,124.077067503693,17400,NA,NA,NA,NA,NA,NA,NA,NA
"182","Searcy Beauty College Inc","Searcy","AR","Town","Private",NA,0.4799999893,0.9399999976,0.9300000072,0.1599999964,0.4300000072,90.5599975586,7.0100002289,1.5,0.2700000107,0.7788461538,0.1057692308,NA,NA,NA,NA,103.397556253078,12300,15000,16100,14100,15300,NA,NA,NA,NA
"183","Shorter College","N Little Rock","AR","City","Private",20759,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.943977591,NA,NA,NA,NA,NA,250.739073913714,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Williams Baptist College","Walnut Ridge","AR","Rural","Private",24697,0.8600000143,0.7400000095,0.5799999833,0.7900000215,0.1400000006,90.8700027466,6.0999999046,1.7000000477,0.3899999857,0.3564954683,0.1873111782,0.1903323263,0.163141994,0.1027190332,NA,196.455356880848,26800,29400,30200,35200,35400,22800,31200,29600,42100
"185","South Arkansas Community College","El Dorado","AR","Town","Public",14152,0.5799999833,0.8999999762,0.7900000215,0.3199999928,0.2700000107,65.5500030518,32.0699996948,1.7699999809,0.3600000143,0.7158962796,0.1364148816,0.0868094701,0.0439684329,0.0169109357,NA,98.2276784404242,27200,27900,29100,29900,30300,25200,33100,27700,38600
"186","Southern Arkansas University Main Campus","Magnolia","AR","Town","Public",19970,0.8100000024,0.7900000215,0.5699999928,0.6899999976,0.1299999952,67.4800033569,28.75,3.5599999428,0.6200000048,0.5420340976,0.1728395062,0.1275720165,0.0999412111,0.0576131687,NA,175.982640742739,30000,32400,33300,38700,39300,29700,30500,33100,46600
"187","Southern Arkansas University Tech","Camden","AR","Rural","Public",16936,0.4300000072,0.8899999857,0.6499999762,0.4499999881,0.2599999905,63.3600006104,34.4799995422,1.4600000381,0.2700000107,0.6638370119,0.1765704584,0.1069609508,NA,NA,NA,56.8686559391929,26200,28500,27700,27700,28600,22400,31900,25900,34600
"188","Velvatex College of Beauty Culture","Little Rock","AR","City","Private",NA,0,1,0.9599999785,0.1599999964,0.1599999964,49.7700004578,46.2999992371,2.6400001049,0.9300000072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","University of Arkansas-Fort Smith","Fort Smith","AR","City","Public",13897,0.6999999881,0.8199999928,0.6299999952,0.5199999809,0.2399999946,85.9400024414,3.9700000286,4.7699999809,1.9500000477,0.5469904963,0.1717705033,0.1471312918,0.0848292855,0.0492784231,NA,146.12142649685,27200,30200,31400,32200,33100,24200,31800,30100,38700
"190","Academy of Art University","San Francisco","CA","City","Private",36786,0.9700000286,0.5799999833,0.5199999809,0.5400000215,0.1299999952,67.9100036621,8.25,15.3400001526,11.9099998474,0.5895186685,0.1497975709,0.1072874494,0.0748987854,0.0784975259,NA,361.891446885773,32400,37900,41400,44100,45500,30400,34400,42800,47300
"191","ITT Technical Institute-Rancho Cordova","Rancho Cordova","CA","City","Private",28541,0.9599999785,0.6399999857,0.200000003,0.5199999809,0.150000006,67.3300018311,7.1999998093,20.0200004578,8.4099998474,0.6996228922,0.1521717892,0.0867934114,0.0410129155,0.0203989918,NA,262.929645795952,33700,36700,38800,40000,42300,27200,35900,33800,43900
"192","Academy of Chinese Culture and Health Sciences","Oakland","CA","City","Private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","The Academy of Radio and TV Broadcasting","Huntington Beach","CA","Suburb","Private",NA,0.9200000167,0.6299999952,0.4300000072,0.3600000143,0.1199999973,55.3400001526,11.0100002289,38.4799995422,7.6599998474,0.8351648352,NA,NA,NA,NA,NA,NA,26900,27200,27800,29400,31600,26100,27500,31900,31500
